ProductID, Symbol                , ExchangeID, Bloomberg code,Name
4663949, REP , XMAD     ,REP SM EQUITY     ,REPSOL SA
4663950, EXC                   , XNAS     ,EXC UN EQUITY     ,EXELON CORP
4663951, TLS1V                 , XHEL     ,TLS1V FH EQUITY   ,TELIASONERA AB
4663952, TLSN                  , XSTO     ,TLSN SS EQUITY    ,TELIASONERA AB
4663953, O39                   , XSES     ,OCBC SP EQUITY    ,OVERSEA-CHINESE BANKING CORP
4663954, NOV                   , XNAS     ,NOV UN EQUITY     ,NATIONAL OILWELL VARCO INC
4663955, FCX                   , XNAS     ,FCX UN EQUITY     ,FREEPORT-MCMORAN COPPER
4663956,4063, XTKS     ,4063 JT EQUITY    ,SHIN-ETSU CHEMICAL CO LTD
4663957, TRI                   , XNAS     ,TRI UN EQUITY     ,THOMSON REUTERS CORP
4663958, CSL                   , XASX     ,CSL AU EQUITY     ,CSL LTD
4663959, SSL                   , XNAS     ,SSL UN EQUITY     ,SASOL LTD-SPONSORED ADR
4663960,5108, XTKS     ,5108 JT EQUITY    ,BRIDGESTONE CORP
4663961, BSBR                  , XNAS     ,BSBR UN EQUITY    ,BANCO SANTANDER BRASIL-ADS
4663962, SVENSKA HANDELSBANK A ,,SHBA SS EQUITY    ,SVENSKA HANDELSBANKEN-A SHS
4663963, PHG                   , XNAS     ,PHG UN EQUITY     ,KONINKLIJKE PHILIPS NVR- NY
4663964,4689, XTKS     ,4689 JT EQUITY    ,YAHOO JAPAN CORP
4663965, CUK                   , XNAS     ,CUK UN EQUITY     ,CARNIVAL PLC-ADR
4663966, SWED A                , XSTO     ,SWEDA SS EQUITY   ,SWEDBANK AB - A SHARES
4663967,6301, XTKS     ,6301 JT EQUITY    ,KOMATSU LTD
4663968, SREN                  , XVTX     ,SREN VX EQUITY    ,SWISS RE AG
4663969, CRM                   , XNAS     ,CRM UN EQUITY     ,SALESFORCE.COM INC
4663970, U11                   , XSES     ,UOB SP EQUITY     ,UNITED OVERSEAS BANK LTD
4663971, SCCO                  , XNAS     ,SCCO UN EQUITY    ,SOUTHERN COPPER CORP
4663972,5401, XTKS     ,5401 JT EQUITY    ,NIPPON STEEL & SUMITOMO META
4663973, CCL                   , XNAS     ,CCL UN EQUITY     ,CARNIVAL CORP
4663974, RAI                   , XNAS     ,RAI UN EQUITY     ,REYNOLDS AMERICAN INC
4663975, DNBNOR                , XOSL     ,DNB NO EQUITY     ,DNB ASA
4663976,8801, XTKS     ,8801 JT EQUITY    ,MITSUI FUDOSAN CO LTD
4663977,8031, XTKS     ,8031 JT EQUITY    ,MITSUI & CO LTD
4663978, CON , XETR     ,CON GY EQUITY     ,CONTINENTAL AG
4663979,4503, XTKS     ,4503 JT EQUITY    ,ASTELLAS PHARMA INC
4663980, HOLN , XVTX     ,HOLN VX EQUITY    ,HOLCIM LTD-REG
4663981,8766, XTKS     ,8766 JT EQUITY    ,TOKIO MARINE HOLDINGS INC
4663982, WDC                   , XASX     ,WDC AU EQUITY     ,WESTFIELD GROUP
4663983, MOS                   , XNAS     ,MOS UN EQUITY     ,MOSAIC CO/THE
4663984, LUX                   , XNAS     ,LUX UN EQUITY     ,LUXOTTICA GROUP SPA-SPON ADR
4663985, WMB                   , XNAS     ,WMB UN EQUITY     ,WILLIAMS COS INC
4663986, CHT                   , XNAS     ,CHT UN EQUITY     ,CHUNGHWA TELECOM LTD-ADR
4663987, TS                    , XNAS     ,TS UN EQUITY      ,TENARIS SA-ADR
4663988,9022, XTKS     ,9022 JT EQUITY    ,CENTRAL JAPAN RAILWAY CO
4663989, MRO                   , XNAS     ,MRO UN EQUITY     ,MARATHON OIL CORP
4663990, PAH3 , XETR     ,PAH3 GY EQUITY    ,PORSCHE AUTOMOBIL HLDG-PRF
4663991, INFY                  , XNAS     ,INFY UN EQUITY    ,INFOSYS LTD-SP ADR
4663992, ELE , XMAD     ,ELE SM EQUITY     ,ENDESA SA
4663993,7011, XTKS     ,7011 JT EQUITY    ,MITSUBISHI HEAVY INDUSTRIES
4663994, DVN                   , XNAS     ,DVN UN EQUITY     ,DEVON ENERGY CORPORATION
4663995, KNEBV , XHEL     ,KNEBV FH EQUITY   ,KONE OYJ-B
4663996, AEP                   , XNAS     ,AEP UN EQUITY     ,AMERICAN ELECTRIC POWER
4663997,6503, XTKS     ,6503 JT EQUITY    ,MITSUBISHI ELECTRIC CORP
4663998, LQD                   , ARCX     ,LQD UP EQUITY     ,ISHARES IBOXX INVESTMENT GRA
4663999, ADS , XETR     ,ADS GY EQUITY     ,ADIDAS AG
4664000, HES                   , XNAS     ,HES UN EQUITY     ,HESS CORP
4664001, SEB C , XSTO     ,SEBC SS EQUITY    ,SKANDINAVISKA ENSKILDA BAN-C
4664002, SEBA , XSTO     ,SEBA SS EQUITY    ,SKANDINAVISKA ENSKILDA BAN-A
4664003, BEI , XETR     ,BEI GY EQUITY     ,BEIERSDORF AG
4664004, CTL                   , XNAS     ,CTL UN EQUITY     ,CENTURYLINK INC
4664005, SAMAS , XHEL     ,SAMAS FH EQUITY   ,SAMPO OYJ-A SHS
4664006, SCMN , XVTX     ,SCMN VX EQUITY    ,SWISSCOM AG-REG
4664007, INVE A , XSTO     ,INVEA SS EQUITY   ,INVESTOR AB-A SHS
4664008, INVEB , XSTO     ,INVEB SS EQUITY   ,INVESTOR AB-B SHS
4664009, PPG                   , XNAS     ,PPG UN EQUITY     ,PPG INDUSTRIES INC
4664010,6752, XTKS     ,6752 JT EQUITY    ,PANASONIC CORP
4664011,6758, XTKS     ,6758 JT EQUITY    ,SONY CORP
4664012, FRE , XETR     ,FRE GY EQUITY     ,FRESENIUS SE & CO KGAA
4664013, VLO                   , XNAS     ,VLO UN EQUITY     ,VALERO ENERGY CORP
4664014, RWE , XETR     ,RWE GY EQUITY     ,RWE AG
4664015, RWE3 , XETR     ,RWE3 GY EQUITY    ,RWE AG-NON VTG PREF
4664016,6502, XTKS     ,6502 JT EQUITY    ,TOSHIBA CORP
4664017,8001, XTKS     ,8001 JT EQUITY    ,ITOCHU CORP
4664018, WPZ                   , XNAS     ,WPZ UN EQUITY     ,WILLIAMS PARTNERS LP
4664019, MT                    , XNAS     ,MT UN EQUITY      ,ARCELORMITTAL-NY REGISTERED
4664020, ETP                   , XNAS     ,ETP UN EQUITY     ,ENERGY TRANSFER PARTNERS LP
4664022, FMS                   , XNAS     ,FMS UN EQUITY     ,FRESENIUS MEDICAL CARE-ADR
4664023, FME , XETR     ,FME GY EQUITY     ,FRESENIUS MEDICAL CARE AG &
4664024, HCN                   , XNAS     ,HCN UN EQUITY     ,HEALTH CARE REIT INC
4664025, PLD                   , XNAS     ,PLD UN EQUITY     ,PROLOGIS INC
4664026, SE                    , XNAS     ,SE UN EQUITY      ,SPECTRA ENERGY CORP
4664027, MBT                   , XNAS     ,MBT UN EQUITY     ,MOBILE TELESYSTEMS-SP ADR
4664028, BHI                   , XNAS     ,BHI UN EQUITY     ,BAKER HUGHES INC
4664029, GAS , XMAD     ,GAS SM EQUITY     ,GAS NATURAL SDG SA
4664030,6971, XTKS     ,6971 JT EQUITY    ,KYOCERA CORP
4664031,6326, XTKS     ,6326 JT EQUITY    ,KUBOTA CORP
4664032, PCG                   , XNAS     ,PCG UN EQUITY     ,P G & E CORP
4664033,7270, XTKS     ,7270 JT EQUITY    ,FUJI HEAVY INDUSTRIES LTD
4664034, IWM                   , ARCX     ,IWM UP EQUITY     ,ISHARES RUSSELL 2000 ETF
4664035, VNQ                   , ARCX     ,VNQ UP EQUITY     ,VANGUARD REIT ETF
4664036, AON                   , XNAS     ,AON UN EQUITY     ,AON PLC
4664037, WM                    , XNAS     ,WM UN EQUITY      ,WASTE MANAGEMENT INC
4664038,8830, XTKS     ,8830 JT EQUITY    ,SUMITOMO REALTY & DEVELOPMEN
4664039, IWF                   , ARCX     ,IWF UP EQUITY     ,ISHARES RUSSELL 1000 GROWTH
4664040, ABX                   , XNAS     ,ABX UN EQUITY     ,BARRICK GOLD CORP
4664041, TIP                   , ARCX     ,TIP UP EQUITY     ,ISHARES TIPS BOND ETF
4664042, PCAR                  , XNYS     ,PCAR UW EQUITY    ,PACCAR INC
4664043, QBE                   , XASX     ,QBE AU EQUITY     ,QBE INSURANCE GROUP LTD
4664044, EXS1 , XETR     ,DAXEX GY EQUITY   ,ISHARES DAX DE
4664045,6981, XTKS     ,6981 JT EQUITY    ,MURATA MANUFACTURING CO LTD
4664046, RIG                   , XNAS     ,RIG UN EQUITY     ,TRANSOCEAN LTD
4664047,6861, XTKS     ,6861 JT EQUITY    ,KEYENCE CORP
4664048, SDRL                  , XOSL     ,SDRL NO EQUITY    ,SEADRILL LTD
4664049, SCA A , XSTO     ,SCAA SS EQUITY    ,SVENSKA CELLULOSA AB-A SHS
4664050, SCA B , XSTO     ,SCAB SS EQUITY    ,SVENSKA CELLULOSA AB SCA-B
4664051, RIGN                  , XVTX     ,RIGN VX EQUITY    ,TRANSOCEAN LTD
4664052,4578, XTKS     ,4578 JT EQUITY    ,OTSUKA HOLDINGS CO LTD
4664053,8309, XTKS     ,8309 JT EQUITY    ,SUMITOMO MITSUI TRUST HOLDIN
4664054, DANSKEBANK ,XCSE     ,DANSKE DC EQUITY  ,DANSKE BANK A/S
